,Gene_Symbol
400,OSBP2
401,UBE2D3
402,SRPX2
403,SLC25A5
404,GPX3
405,ELTD1
406,NFKB2
407,JUN
408,PLA2G1B
409,LPP
410,RPS15
411,PPIA
412,ADAMTS4
413,GPHB5
414,SEMA6A
415,KCNN3
416,IKZF4
417,FAIM
418,C1orf172
419,GM11725
420,DTL
421,CIT
422,SERPING1
423,RPS25
424,CDC42EP5
425,ATF4
426,NFATC2
427,CXCL9
428,HGD
429,DDR2
430,OTOA
431,CRYAB
432,ADORA3
433,1700066B19RIK
434,CATSPERG1
435,NR4A1
436,SEMA4C
437,4732490B19RIK
438,PSMA7
439,HMGB1
440,ACTB
441,ROR2
442,CCT6A
443,C5orf27
444,ACOXL
445,MROH8
446,VEGFC
447,ZYX
448,SNRPB
449,BSPH1
450,SNAI2
451,CKAP5
452,IFRD1
453,NCAM1
454,FTL1
455,CDC42
456,SKI
457,UBN1
458,ENO4
459,IL11RA1
460,ZFP239
461,SDHC
462,LAMB2
463,VCAM1
464,CTNNB1
465,FAM199X
466,RPL4
467,SLAMF8
468,TM9SF3
469,4933434E20RIK
470,CELF2
471,IGF2BP2
472,TCAF2
473,PABPN1
474,CAMK2N1
475,CDCA3
476,MTL5
477,ARHGEF10
478,DLGAP5
479,NOL12
480,ARMCX2
481,SALL2
482,TUBA1A
483,RPL31
484,UPP1
485,CYP24A1
486,PDGFRL
487,LPAR4
488,HP1BP3
489,CDC25C
490,OLAH
491,ALOX12
492,COQ8B
493,CALCA
494,HOXA10
495,FOSL2
496,TSPO
497,CPB1
498,YWHAB
499,5730420D15RIK
500,RPS12
501,RBM12
502,TSN
503,FKBP7
504,TIMP3
505,TCOF1
506,CDH5
507,LAMTOR3
508,RPL36
509,ILF3
510,TMEM132A
511,EEF2
512,1110038B12RIK
513,ABHD16A
514,GM12618
515,DSTYK
516,ANTXRL
517,S100A9
518,CD36
519,KRT84
520,TFPI2
521,BRCA2
522,DYRK4
523,PIGC
524,CHST8
525,RPL19
526,CYCT
527,GGNBP2
528,FOXM1
529,PSMB3
530,RALGAPB
531,SEC24B
532,HBA2
533,NR4A3
534,HNRNPF
535,BPIFC
536,SRSF3
537,DHCR24
538,RTN2
539,FCN3
540,CNBP
541,NACA
542,TMC4
543,BLNK
544,RPS14
545,SEP15
546,TCAF1
547,CXCR7
548,PDE3A
549,CYP7A1
550,IDS
551,ATPIF1
552,COLEC11
553,TAP2
554,STAC2
555,CDKN2C
556,PPTC7
557,ARL4D
558,FUNDC2
559,SNCG
560,4933408B17RIK
561,RRAD
562,RPL22
563,CXCL12
564,PSMB8
565,NFE2L2
566,ATP6AP1L
567,ANXA10
568,LRRC17
569,PVR
570,CCNL2
571,HECTD1
572,SERPINA3F
573,OOG4
574,CELA2A
575,EWSR1
576,TNFSF9
577,SYTL2
578,NKD2
579,ATP5G3
580,SIAH2
581,TAGLN2
582,SERBP1
583,HSPB8
584,GZMC
585,CTDSPL
586,LTBP1
587,MED23
588,GSTT1
589,FBXW21
590,ATP5E
591,RPL7
592,GM6654
593,PMEPA1
594,KCNE1L
595,SOD1
596,MEGF10
597,COX8A
598,COL5A3
599,ARL6IP1
600,RPS4X
601,UBASH3B
602,BTF3
603,SVS3B
604,NTRK1
605,REP15
606,FXYD6
607,REM1
608,UNC50
609,GSN
610,SEC14L4
611,ENTPD2
612,FFAR4
613,USP25
614,FAM90A1A
615,TPM1
616,ABHD2
617,C5AR2
618,ARHGAP28
619,CTDSP2
620,PRKAR1A
621,TAC2
622,CCL28
623,DTX4
624,TMEM109
625,IDO1
626,DBX1
627,SLC46A2
628,SNHG15
629,NFKBIE
630,BBOX1
631,TCF4
632,EPRS
633,VEZF1
634,RPS19-PS3
635,MIDN
636,MLL1
637,CLIP3
638,IFITM1
639,PLK3
640,4933406G16RIK
641,ARPC1B
642,BDH2
643,NFE2
644,NEDD4
645,1110028F18RIK
646,FZD3
647,HNRNPA0
648,NPPC
649,RPL23A
650,KHDC1B
651,TMEM176B
652,EPS15
653,TAC4
654,GSTT2B
655,HDAC11
656,CEP128
657,CHGB
658,DHRS11
659,GAS5
660,SYT7
661,BRD2
662,HSPA1A
663,ZFP36L2
664,PRDX2
665,RPL7A
666,NGP
667,VSTM4
668,RTKN2
669,PSAP
670,SLC22A21
671,GALNT14
672,EIF4A2
673,GSTA2
674,CCT4
675,GM15133
676,BDKRB2
677,ZBTB4
678,MYC
679,MON2
680,EIF3K
681,FOS
682,CD8B1
683,RPS27
684,GNG4
685,RASGRP1
686,BLOC1S1
687,ATF3
688,SNHG8
689,ADAMTS5
690,SNRPB2
691,DAG1
692,TUBB4B
693,SOX8
694,TMEM229A
695,YIPF5
696,FSTL3
697,RBM25
698,KPNA7
699,TMEM91
700,RPL26
701,RERG
702,CDH6
703,C1orf116
704,NOTCH3
705,RPS23
706,CRISPLD2
707,JUNB
708,DNAJB1
709,PLCE1
710,CCHCR1
711,FCGBP
712,RCL1
713,BMYC
714,FEM1A
715,MCM5
716,RASL11A
717,REEP2
718,ATP5J2
719,D4WSU53E
720,DDIT4
721,ANKRD29
722,CA14
723,EFHC1
724,RPL35
725,NUMBL
726,DUSP5
727,HTRA1
728,NTS
729,SLC28A1
730,RNF122
731,RPL9
732,SLC7A5
733,RPL37
734,CNN3
735,CSF3
736,SLC4A11
737,CES4A
738,SCG3
739,5930430L01RIK
740,NFIB
741,THEM7
742,RAB3IP
743,9330159F19RIK
744,EPHB6
745,LGALS1
746,SOD3
747,BTG3
748,EIF3G
749,NREP
750,TSPAN15
751,ZFHX4
752,FOXF1
753,HEYL
754,SPATS2L
755,OLFR456
756,OLFR890
757,WDR27
758,BLOODLINC
759,SELE
760,SIGLEC1
761,LILRA6
762,GADD45A
763,RPS8
764,CES1E
765,GAS1
766,RSL1D1
767,UFSP1
768,RPS15A-PS4
769,D630003M21RIK
770,FAAP20
771,PM20D1
772,PDPN
773,GDF9
774,DHH
775,RAB19
776,COL18A1
777,RPL18A
778,MYH4
779,SPCS3
780,RPLP0
781,RPL31-PS12
782,ARHGEF2
783,MMP2
784,CPA6
785,CDR2L
786,TNFSF15
787,RPL14-PS1
788,RPL27A
789,CRTAM
790,TMBIM1
791,RPL37A
792,HTRA3
793,HSPG2
794,PLVAP
795,TRAIP
796,IDH2
797,BEST1
798,AQP1
799,VPS35
800,BAIAP2L2
801,TREM2
802,GSTM1
803,BC051142
804,TANC2
805,UBA1
806,CBX7
807,PI16
808,ZCCHC5
809,ZSWIM7
810,RPS3A1
811,AIF1
812,USP8
813,MFSD13B
814,4930427A07RIK
815,PTGS2
816,MT1
817,PRG3
818,FRMD6
819,CCDC38
820,VMN1R214
821,OLFM1
822,FTO
823,ABR
824,ANAPC1
825,NGFRAP1
826,NUCKS1
827,VPS37D
828,NDUFV3
829,RPLP1
830,TNFRSF12A
831,FLYWCH2
832,FBXO4
833,TMEM35A
834,CD3G
835,PRKAG2OS1
836,RPL39
837,THAP3
838,P4HA1
839,NCOA3
840,ADAMTS10
841,SEC1
842,TMEFF2
843,HSD11B1
844,HNRPLL
845,ARSG
846,ESPN
847,SDC1
848,ENPP2
849,TGIF1
850,GM26641
851,ABCA8A
852,MAP1B
853,HSPA1B
854,CTSL
855,1700074P13RIK
856,TMEM107
857,CTCFL
858,MKI67
859,DDX5
860,RPL30
861,TNNT3
862,SNHG12
863,GBP7
864,PRKCI
865,CIDEC
866,NFKBIA
867,TIMP1
868,CSTB
869,NECAP1
870,COX5A
871,LOC102638047
872,1500012F01RIK
873,CATSPERG2
874,TPM4
875,CYP2D22
876,NKG7
877,TCTN1
878,CFL2
879,GM813
880,RPS3
881,MSR1
882,TRA2A
883,SLC9A3R1
884,HS3ST3B1
885,KCNMB3
886,MYL12A
887,B230112J18RIK
888,2610035D17RIK
889,EEF1A1
890,PPP2R1B
891,PTBP2
892,CCL7
893,HAX1
894,MFSD2A
895,ANKRD10
896,TSHZ3
897,MLL5
898,CEMIP
899,HAPLN2
900,YWHAE
901,ALLC
902,HYPK
903,PTEN
904,IRF7
905,SLC35A1
906,SERPINH1
907,UBA2
908,ILDR1
909,PFDN5
910,SDCBP2
911,GNB2L1
912,KCNIP3
913,ZFP523
914,MAGOH
915,ODC1
916,HERPUD1
917,CD7
918,VIM
919,A530032D15RIK
920,CARD10
921,HSPE1
922,GPRASP2
923,CRLF2
924,GEM
925,LILRA5
926,SLC26A3
927,YTHDF3
928,NCAPH2
929,ENTPD8
930,COL19A1
931,SEC62
932,CYP26A1
933,9530091C08RIK
934,RAD21
935,OLFR183
936,EFS
937,BHLHE40
938,CACNA2D3
939,BCL7C
940,IL6
941,PRPF38B
942,CHRDL2
943,PTMS
944,PTPN5
945,NPAS2
946,UHRF1
947,SPRY1
948,NFIA
949,GM14273
950,GM9846
951,PDLIM4
952,LGALS7
953,SPRY4
954,ADCY6
955,DNAJB4
956,TCEB2
957,COX7C
958,NRADD
959,IL17RA
960,CD82
961,CCND1
962,RBP1
963,HBA-A2
964,NUDT16L1
965,IER5
966,EIF3H
967,SRSF2
968,SOWAHB
969,MYO15B
970,TXNDC8
971,STC1
972,TUBB2B
973,SLC26A10
974,CLCF1
975,CMPK2
976,RSPRY1
977,TTYH1
978,JUND
979,ZIM1
980,RAB6B
981,WDR90
982,GRASP
983,DAAM2
984,NTF3
985,CALCR
986,JMJD1C
987,HSD17B3
988,GM16197
989,GRIK5
990,GAL
991,FAAH
992,ABI1
993,AREG
994,CCL8
995,IER3
996,ICAM1
997,HELB
998,DPT
999,SLC52A3
1000,COL26A1
1001,ASH1L
1002,GXYLT2
1003,LBR
1004,MTFR2
1005,IFNAR2
1006,1520401A03RIK
1007,TNF
1008,RPL41
1009,POLN
1010,RDH5
1011,SNRPE
1012,THSD4
1013,MSC
1014,ELF5
1015,GBP6
1016,AC024580.1
1017,IFITM2
1018,DCSTAMP
1019,SEPT10
1020,GM12909
1021,COX4I1
1022,RPS7
1023,PSENEN
1024,PINK1
1025,IQSEC3
1026,S100A7A
1027,DGKG
1028,A630089N07RIK
1029,B2M
1030,CSF1
1031,PTRF
1032,UQCR11
1033,HEATR9
1034,CLU
1035,FAM49A
1036,MBOAT2
1037,RSPH9
1038,UBC
1039,CSN1S2A
1040,CNTNAP5B
1041,MATK
1042,SMOK2A
1043,RPL18
1044,CDCA5
1045,GM14634
1046,CALM1
1047,CLDN8
1048,ISG15
1049,DYNC1LI2
1050,POLR2D
1051,RBM39
1052,ABAT
1053,CLIC1
1054,ODAM
1055,GM12191
1056,ACKR1
1057,SNHG5
1058,IGFBP4
1059,SVOPL
1060,UPP2
1061,RPL8
1062,EGR3
1063,CLASP2
1064,CXCL10
