,Gene_Symbol
1670,ACTG2
1671,CXCL1
1672,LIPC
1673,SLC10A6
1674,CHCHD2
1675,MS4A15
1676,NPC1L1
1677,RBM7
1678,TMEM176A
1679,LRIT2
1680,CWF19L1
1681,SF1
1682,ABCB1B
1683,CCDC8
1684,DDX26B
1685,MROH2A
1686,HSPD1
1687,LGALS3BP
1688,VDR
1689,CPNE8
1690,FOXP2
1691,HIST1H1E
1692,RGS4
1693,ATP10B
1694,DAPL1
1695,DNAJA1
1696,LOXL1
1697,DDIT3
1698,TRIP13
1699,ZFP948
1700,ADRB1
1701,RPL35A
1702,AAAS
1703,TUBG2
1704,RPS18
1705,MIR703
1706,METTL7B
1707,S100B
1708,GJC2
1709,COX20
1710,IRF2BPL
1711,LRRC8E
1712,NDUFA13
1713,POLE
1714,ATP5B
1715,ITM2A
1716,SNRPF
1717,GM13889
1718,WDR95
1719,LRG1
1720,MRC2
1721,HINT1
1722,RAB37
1723,CCDC154
1724,SIGLEC14
1725,CXCL2
1726,TGFBR3
1727,ACADL
1728,DES
1729,MARCKSL1
1730,FERMT1
1731,CP
1732,CCL2
1733,RBM3
1734,CHIC1
1735,SHF
1736,WSB1
1737,TMEM252
1738,CCT2
1739,SBSPON
1740,DCN
1741,RPL21
1742,VCP
1743,GPX6
1744,CKB
1745,AKR1CL
1746,SMO
1747,HNRPDL
1748,GM11413
1749,FANCD2
1750,TRIM6
1751,KIRREL3
1752,CITED2
1753,TRIM47
1754,GM8267
1755,GFRA1
1756,ZFP706
1757,ITGAE
1758,DPY19L3
1759,TREML4
1760,PCDHB9
1761,ARPIN
1762,ARL5C
1763,NOS1AP
1764,GLIPR1L2
1765,MCTS1
1766,COL1A2
1767,XIRP2
1768,PSRC1
1769,CDH15
1770,LONRF2
1771,CTRB1
1772,DYNLL1
1773,NCKAP5L
1774,GPR176
1775,SSTR5
1776,ANKRD12
1777,RPL3
1778,ZBTB20
1779,SFRS18
1780,P2RX3
1781,PCBD1
1782,RHOH
1783,COL4A1
1784,SYT15
1785,BAG3
1786,FSCN1
1787,PDE6G
1788,RP11-286N22.8
1789,CNR1
1790,NEK5
1791,FILIP1L
1792,GRHL1
1793,TMEM255A
1794,SERF2
1795,FOSL1
1796,GM13125
1797,TOR1AIP1
1798,ARPC2
1799,RPS6
1800,MCM10
1801,SLC11A1
1802,MTF2
1803,NFKBIZ
1804,FOSB
1805,ESPNL
1806,PHLDA1
1807,GM20594
1808,PGM5
1809,VMN1R13
1810,RPL12
1811,SPON2
1812,RPL28
1813,CRB3
1814,TGM4
1815,CSRNP1
1816,TRIB1
1817,SERINC3
1818,ARF4
1819,MBOAT1
1820,SOCS1
1821,MYADM
1822,GM12253
1823,CRIP1
1824,D930032P07RIK
1825,EIF3I
1826,GM15850
1827,CAPZA2
1828,IL1B
1829,GARNL3
1830,PKM
1831,GM10653
1832,IFIT2
1833,PLEK2
1834,ID1
1835,SLC5A8
1836,S100A16
1837,STAT3
1838,CD209E
1839,PODXL
1840,NAP1L5
1841,S100A10
1842,ERGIC3
1843,HSP90AB1
1844,SOS1
1845,CTSZ
1846,RPS11
1847,ZG16
1848,SLC25A3
1849,POU2F3
1850,ZG16B
1851,ERCC6L2
1852,RAB18
1853,SERPINE1
1854,TM2D1
1855,DDAH2
1856,FLT3
1857,MAFF
1858,MRPL30
1859,PSMA5
1860,CBLN2
1861,CFAP45
1862,CYP2B9
1863,ADAMTS15
1864,FLNA
1865,CD63
1866,HBA1
1867,SELENOM
1868,GALNT9
1869,RNASE2
1870,PMFBP1
1871,EXOSC4
1872,TTLL10
1873,RAB20
1874,PMP2
1875,PPP1R32
1876,VTN
1877,PNRC1
1878,FGF16
1879,CATSPERD
