,Basophil_names,Basophil_scores,Basophil_logfoldchanges,Basophil_pvals,Basophil_pvals_adj,CD16+ dendritic cell_names,CD16+ dendritic cell_scores,CD16+ dendritic cell_logfoldchanges,CD16+ dendritic cell_pvals,CD16+ dendritic cell_pvals_adj,Central memory CD4-T cell_names,Central memory CD4-T cell_scores,Central memory CD4-T cell_logfoldchanges,Central memory CD4-T cell_pvals,Central memory CD4-T cell_pvals_adj,Central memory CD8-T cell_names,Central memory CD8-T cell_scores,Central memory CD8-T cell_logfoldchanges,Central memory CD8-T cell_pvals,Central memory CD8-T cell_pvals_adj,Classical monocyte _names,Classical monocyte _scores,Classical monocyte _logfoldchanges,Classical monocyte _pvals,Classical monocyte _pvals_adj,Effector memory CD4-T cell_names,Effector memory CD4-T cell_scores,Effector memory CD4-T cell_logfoldchanges,Effector memory CD4-T cell_pvals,Effector memory CD4-T cell_pvals_adj,Effector memory CD8-T cell_names,Effector memory CD8-T cell_scores,Effector memory CD8-T cell_logfoldchanges,Effector memory CD8-T cell_pvals,Effector memory CD8-T cell_pvals_adj,Effector memory CD45RA+ CD8-T cell_names,Effector memory CD45RA+ CD8-T cell_scores,Effector memory CD45RA+ CD8-T cell_logfoldchanges,Effector memory CD45RA+ CD8-T cell_pvals,Effector memory CD45RA+ CD8-T cell_pvals_adj,Eosinophil_names,Eosinophil_scores,Eosinophil_logfoldchanges,Eosinophil_pvals,Eosinophil_pvals_adj,Immature NK cell_names,Immature NK cell_scores,Immature NK cell_logfoldchanges,Immature NK cell_pvals,Immature NK cell_pvals_adj,Mature NK cell_names,Mature NK cell_scores,Mature NK cell_logfoldchanges,Mature NK cell_pvals,Mature NK cell_pvals_adj,More mature NK cell_names,More mature NK cell_scores,More mature NK cell_logfoldchanges,More mature NK cell_pvals,More mature NK cell_pvals_adj,Myeloid dendritic cell_names,Myeloid dendritic cell_scores,Myeloid dendritic cell_logfoldchanges,Myeloid dendritic cell_pvals,Myeloid dendritic cell_pvals_adj,Naïve B cell_names,Naïve B cell_scores,Naïve B cell_logfoldchanges,Naïve B cell_pvals,Naïve B cell_pvals_adj,Naïve CD4-T cell_names,Naïve CD4-T cell_scores,Naïve CD4-T cell_logfoldchanges,Naïve CD4-T cell_pvals,Naïve CD4-T cell_pvals_adj,Naïve CD8-T cell_names,Naïve CD8-T cell_scores,Naïve CD8-T cell_logfoldchanges,Naïve CD8-T cell_pvals,Naïve CD8-T cell_pvals_adj,Neutrophil_names,Neutrophil_scores,Neutrophil_logfoldchanges,Neutrophil_pvals,Neutrophil_pvals_adj,Non-classical monocyte_names,Non-classical monocyte_scores,Non-classical monocyte_logfoldchanges,Non-classical monocyte_pvals,Non-classical monocyte_pvals_adj,Plasmacytoid dendritic cell _names,Plasmacytoid dendritic cell _scores,Plasmacytoid dendritic cell _logfoldchanges,Plasmacytoid dendritic cell _pvals,Plasmacytoid dendritic cell _pvals_adj,Switched memory B cell_names,Switched memory B cell_scores,Switched memory B cell_logfoldchanges,Switched memory B cell_pvals,Switched memory B cell_pvals_adj,Unswitched memory B cell_names,Unswitched memory B cell_scores,Unswitched memory B cell_logfoldchanges,Unswitched memory B cell_pvals,Unswitched memory B cell_pvals_adj
0,BX284613.2,inf,30.67832,0.0,0.0,MIR29C,inf,32.572956,0.0,0.0,MIR503HG,inf,30.67832,0.0,0.0,RARRES2P4,inf,30.67832,0.0,0.0,AC091153.2,37.07105,109.6413,0.0007696280278515431,1.0,SMIM14,inf,30.67832,0.0,0.0,AP000439.3,inf,30.67832,0.0,0.0,CARNMT1,inf,30.67832,0.0,0.0,ATMIN,inf,41.43843,0.0,0.0,RNY1P4,inf,30.67832,0.0,0.0,KCNH1,5.6308208,16.643824,0.08994521573068937,1.0,IGLV2-28,18.440325,29.948462,0.008472205573220487,1.0,TGFA,inf,30.67832,0.0,0.0,AC010333.1,inf,30.67832,0.0,0.0,RYR3,inf,30.67832,0.0,0.0,AC145146.1,inf,30.67832,0.0,0.0,MAP3K7CL,inf,30.67832,0.0,0.0,DDX52,inf,30.67832,0.0,0.0,TXNL1,inf,30.67832,0.0,0.0,RNA5SP482,inf,30.67832,0.0,0.0,AP003392.5,inf,30.67832,0.0,0.0
1,FUNDC1,inf,30.67832,0.0,0.0,MIR3911,inf,30.67832,0.0,0.0,AC002428.2,17.134575,18.25056,0.003808514232460976,1.0,SNX18P13,inf,30.67832,0.0,0.0,AP005059.1,28.840559,604.68243,0.00851871921550614,1.0,OR2AT1P,inf,30.67832,0.0,0.0,UBE2FP3,17.6368,17.388021,0.017492003171323912,1.0,INS,inf,30.67832,0.0,0.0,USP13,inf,30.67832,0.0,0.0,SSXP10,inf,41.43843,0.0,0.0,CLTCL1,5.2011123,25.424322,0.03634940902639242,1.0,BHLHB9,11.821878,47.250675,0.053723092344558424,1.0,AL359317.2,inf,32.572956,0.0,0.0,IGHV1-3,inf,30.67832,0.0,0.0,RPS15AP12,inf,30.67832,0.0,0.0,HMGN1P2,24.334454,15.89297,0.026146539890631555,1.0,PSMD6-AS2,inf,34.15176,0.0,0.0,FAM83E,71.33057,16.844933,0.008924337545174958,1.0,GAPDHS,inf,30.67832,0.0,0.0,ETV1,inf,81.83437,0.0,0.0,AP001007.3,inf,30.67832,0.0,0.0
2,OR2A1-AS1,234.71428,inf,0.0027123015479413415,1.0,AC011586.2,19.0,43.602848,0.03347541671314821,1.0,SPAG8,13.481792,24.021357,0.016520999225622703,1.0,NT5C2,31.761612,31.381746,0.0017846100601397357,1.0,AP001002.1,21.73768,inf,0.027059152826687295,1.0,AC099782.2,12.12137,787.20654,0.03027519562168398,1.0,AC093162.3,14.352708,31.38103,0.004948361104090764,1.0,MTIF2,inf,30.67832,0.0,0.0,AC021491.4,507.97385,456.63647,1.0087459679885246e-05,0.19825893254846463,LINC02851,8.457234,8.653004,0.07492727647229872,1.0,RNA5SP252,4.90408,4.463493,0.12805868152913943,1.0,EBLN3P,10.205788,6.358129,0.06217982185466406,1.0,ZNF213,90.970215,inf,0.006907367127277097,1.0,KRTAP19-2,inf,30.67832,0.0,0.0,ANKRD19P,21.402008,66.74993,0.007286120572092021,1.0,RN7SL783P,12.146674,25.675093,0.052293106219736166,1.0,OR11H5P,inf,38.549942,0.0,0.0,SUV39H1,10.44579,11.233638,0.06075993803011783,1.0,AC099482.2,inf,30.67832,0.0,0.0,OVCH1-AS1,107.10766,22.616188,0.005943564621598473,1.0,AC021739.4,inf,30.67832,0.0,0.0
3,AC018892.3,185.66667,431.68793,0.0034287986530491333,1.0,AMMECR1-IT1,17.664938,7.97946,0.03600018702544973,1.0,RPL12P28,13.172467,23.707449,0.048237052750308394,1.0,OR6P1,8.720665,6.0848236,0.07268381688252955,1.0,LOC105376654,20.031754,inf,0.0037956779585233387,1.0,AC002553.2,9.393554,11.955503,0.01176517380045561,1.0,MIR769,12.97703,52.191444,0.048498148943483504,1.0,GFRA1,16.62077,92.45883,0.038256546629894604,1.0,AL691520.1,106.56108,91.634636,0.00046904213147901997,1.0,ALDH1A1,8.25,77.50629,0.07679141243360756,1.0,MIGA1,4.90408,4.463493,0.12805868152913943,1.0,AL391834.1,9.125689,136.2879,0.011889901574367489,1.0,AC005389.1,34.492065,inf,0.0016831630816883081,1.0,EMC10,122.90474,923.1527,0.00035164770289774686,1.0,AC120498.5,12.31895,inf,0.03355389709983765,1.0,GPR68,10.647834,37.53631,0.013408582802128713,1.0,STK32A-AS1,inf,30.67832,0.0,0.0,BRWD1P2,9.519282,11.178107,0.02409334272784987,1.0,PLEC,inf,30.67832,0.0,0.0,OTX2P1,98.16338,21.17348,0.006485083584800727,1.0,KDELC1P1,inf,30.67832,0.0,0.0
4,AP000797.1,136.87035,inf,0.004582824302844347,1.0,MIR655,10.416044,241.21869,0.03173888094470124,1.0,TPM2,11.183534,29.647709,0.01763728900835542,1.0,ZXDA,8.720665,6.0848236,0.07268381688252955,1.0,AC025810.1,18.549812,101.21715,0.003963059287572821,1.0,AC078777.1,8.720665,6.0848236,0.07268381688252955,1.0,AL139011.2,12.877829,70.21256,0.011246101566483733,1.0,CD247,13.0,39.2727,0.0488745039443948,1.0,ZFP37,75.0,83.99841,0.008487760676999944,1.0,AC122108.1,7.966946,67.93225,0.03801352446686281,1.0,ZNF674,4.199544,206.41359,0.14873897358248628,1.0,AL049861.1,8.643597,inf,0.014371947029127873,1.0,AC025263.3,32.44361,inf,0.0009544176984226392,1.0,RNU7-7P,53.442024,13.956447,0.011910953809646657,1.0,AC090709.1,8.720665,6.0848236,0.07268381688252955,1.0,LINC02654,9.2827835,20.560816,0.04131021743267191,1.0,AL031846.1,60.589848,286.6774,0.002754316519481835,1.0,SNORD117,8.720665,6.0848236,0.07268381688252955,1.0,MYL6B,inf,30.67832,0.0,0.0,RN7SL592P,29.0,50.81643,0.02194371123202196,1.0,TARID,57.344734,17.269787,0.011100500735985846,1.0
5,MYCLP2,87.67002,108.6655,0.00023243082963531845,1.0,AC090282.1,9.89848,20.270187,0.011649682265409913,1.0,RNA5SP292,8.720665,6.0848236,0.07268381688252955,1.0,RPL32P29,8.720665,6.0848236,0.07268381688252955,1.0,AC105383.1,17.664938,7.97946,0.03600018702544973,1.0,RPS2P7,8.720665,6.0848236,0.07268381688252955,1.0,AC103563.7,12.457715,140.55206,0.018373487315691796,1.0,AC020893.2,10.284378,203.85321,0.037781025787313245,1.0,TXNL4A,62.750374,95.22909,0.0011767337717481395,1.0,AC010468.1,7.807066,31.23483,0.06202221359108173,1.0,SMARCD2,4.189272,4.030159,0.14917281583177783,1.0,AC010883.1,8.304501,44.7687,0.07110373732836815,1.0,NR4A1AS,17.0,42.159966,0.037405118482553346,1.0,AC079331.2,45.222504,inf,0.0057863930442802565,1.0,AC021171.2,8.457616,inf,0.01789830854788495,1.0,AL353684.1,8.720665,6.0848236,0.07268381688252955,1.0,KRTAP4-12,59.526024,inf,0.00028753332852608657,1.0,LOC107986298,8.505907,49.54573,0.05768887147447483,1.0,PAICS,inf,30.67832,0.0,0.0,ARHGAP31-AS1,25.398565,226.57918,0.002466538524283082,1.0,GHRLOS,29.270437,143.57439,0.0012153662185459848,1.0
6,NID2,74.78684,inf,0.00025455055142120745,1.0,AL355301.1,9.672743,94.494385,0.025806131705409546,1.0,DLEC1,7.782629,21.480797,0.024317415233245217,1.0,RNU6-998P,8.373716,12.795821,0.07566760248841177,1.0,DNAJC19P6,15.727427,230.49126,0.005071672512401765,1.0,AC004853.1,7.147067,27.464052,0.021489455469613193,1.0,AC009171.2,11.785941,201.56128,0.012617595879268483,1.0,AC008764.8,10.130738,202.91658,0.05439481707351101,1.0,AC010336.6,36.859627,379.3239,0.009772315923120098,1.0,LINC01412,7.548455,52.942665,0.080622118543885,1.0,SDHAF1,3.9292717,6.7323623,0.07035545550905059,1.0,ST8SIA4,7.578001,inf,0.021980325251329126,1.0,AC138393.3,16.438131,477.24353,0.005854574414805751,1.0,AC008878.4,33.35384,inf,0.010513937853682521,1.0,RNF207,7.9041038,33.29749,0.07121275726819867,1.0,RNU6-730P,8.652326,15.576202,0.07325287197235963,1.0,USP17L10,59.06913,93.79868,0.003986504074464166,1.0,AC006460.2,7.5705,815.3752,0.05972170444497283,1.0,AC008534.1,148.52278,inf,0.0023604626342628066,1.0,RNU6-136P,25.0,47.931034,0.02545122269598366,1.0,OLFML1,20.093113,176.78636,0.004213652096273215,1.0
7,AC026336.2,60.675964,inf,0.0009513682816818774,1.0,SLC25A5P1,8.492976,54.82832,0.07102892053396655,1.0,AL355132.1,7.6021833,24.8889,0.06829903976031569,1.0,AP002812.1,8.197002,37.060776,0.015824994067893165,1.0,RNA5SP187,15.378395,30.840559,0.005013609606736522,1.0,OR2T5,6.97479,23.632336,0.04358553770677266,1.0,EEF1B2P1,11.642267,102.62459,0.04103687818569487,1.0,MIR1909,9.710541,29.484758,0.010688203331131282,1.0,AL445687.2,36.741337,inf,0.001027217574154995,1.0,CD101,7.540208,16.587444,0.01717138526235556,1.0,AC084033.1,3.8401713,27.414364,0.07203133068533603,1.0,C17orf102,7.0646544,10.10417,0.02010439082399436,1.0,AC007496.3,14.992962,454.66534,0.019123647516581917,1.0,AL669914.3,32.173626,37.09116,0.01978064023397387,1.0,AC011225.1,6.9411516,inf,0.0210125316130374,1.0,SSMEM1,8.361823,40.963593,0.06955740631729143,1.0,AC109583.4,43.919067,inf,0.0008384212478222171,1.0,AP005530.1,7.203665,9.7252035,0.024964347172219212,1.0,LINC02801,106.714615,88.68337,0.001114633917283102,1.0,TMEM106B,23.0,63.079338,0.02766169913332395,1.0,CD99P1,19.652554,30.840559,0.032365829694854444,1.0
8,AC098827.1,58.69274,inf,0.002329770171484821,1.0,SPANXA2,8.059698,21.413187,0.02113127474580006,1.0,AC093755.1,7.580424,inf,0.03795482724591498,1.0,ART3,8.1034,113.86545,0.060158986204248734,1.0,AL138955.1,15.319293,inf,0.008595229889372422,1.0,RNF157-AS1,6.870158,31.815342,0.06361968907545335,1.0,ABCE1,11.585335,44.849895,0.027301258800192296,1.0,PHF11,8.720665,6.0848236,0.07268381688252955,1.0,AL138691.1,33.394028,inf,0.0009686777354046953,1.0,MIR3191,7.2349234,5.303014,0.08743859593628385,1.0,PAQR3,3.3515968,14.385423,0.10275261769387546,1.0,PAQR3,6.5400105,19.748434,0.09659416906924309,1.0,LINC00664,13.725238,99.12994,0.037924045871466125,1.0,RN7SL408P,26.60921,9.558265,0.02391353767954067,1.0,SGIP1,6.4559336,32.032837,0.07223907518716767,1.0,AC118755.1,8.303111,25.300009,0.059760401675817316,1.0,FGF21,42.229904,inf,0.001724564812049266,1.0,RAB8B,7.1767144,199.45264,0.02325708124692963,1.0,AC094019.1,87.55121,inf,0.006708889346159216,1.0,ADAMTS15,19.897165,564.79474,0.006457773920586738,1.0,AL138807.1,19.182804,146.63588,0.0046052686001511025,1.0
9,TSPY11P,53.69701,859.73926,0.0023710670389088828,1.0,PTPDC1,7.552444,165.52542,0.07572193833081066,1.0,AC022613.3,7.243159,inf,0.07626273837795854,1.0,LINC01838,7.424027,14.407179,0.021499900110171697,1.0,OR10V3P,14.480891,76.390816,0.008280667079675098,1.0,AC000058.1,6.013102,69.84189,0.0274619844669909,1.0,AC099684.3,10.825232,322.0456,0.04950516109275968,1.0,SEMA3F,8.720665,6.9613132,0.07268381688252955,1.0,TUBAL3,28.121574,593.86224,0.002703899995060179,1.0,APEH,6.230439,98.71642,0.09059145912023069,1.0,GMDS,3.3241541,3.408378,0.18603088977517193,1.0,IZUMO4,6.466587,13.51845,0.09767388642515606,1.0,RBMXP1,12.950541,53.289227,0.005918394577194057,1.0,RBMXP2,25.937151,53.68215,0.010355697290744368,1.0,AC098679.2,6.137639,50.912323,0.08153895728484803,1.0,AC023590.1,7.596004,9.384904,0.030833830828704677,1.0,AC011815.3,32.681232,452.81927,0.017509836368857182,1.0,MCAT,7.1296563,23.627083,0.06876309991736627,1.0,AC108879.1,70.49611,inf,0.00810658430808546,1.0,IER3-AS1,19.27883,inf,0.0028734444427784243,1.0,FAM66C,17.792004,99.68199,0.01474580865681101,1.0
