,Basophil_names,Basophil_scores,Basophil_logfoldchanges,Basophil_pvals,Basophil_pvals_adj,CD16+ dendritic cell_names,CD16+ dendritic cell_scores,CD16+ dendritic cell_logfoldchanges,CD16+ dendritic cell_pvals,CD16+ dendritic cell_pvals_adj,Central memory CD4-T cell_names,Central memory CD4-T cell_scores,Central memory CD4-T cell_logfoldchanges,Central memory CD4-T cell_pvals,Central memory CD4-T cell_pvals_adj,Central memory CD8-T cell_names,Central memory CD8-T cell_scores,Central memory CD8-T cell_logfoldchanges,Central memory CD8-T cell_pvals,Central memory CD8-T cell_pvals_adj,Classical monocyte _names,Classical monocyte _scores,Classical monocyte _logfoldchanges,Classical monocyte _pvals,Classical monocyte _pvals_adj,Effector memory CD4-T cell_names,Effector memory CD4-T cell_scores,Effector memory CD4-T cell_logfoldchanges,Effector memory CD4-T cell_pvals,Effector memory CD4-T cell_pvals_adj,Effector memory CD8-T cell_names,Effector memory CD8-T cell_scores,Effector memory CD8-T cell_logfoldchanges,Effector memory CD8-T cell_pvals,Effector memory CD8-T cell_pvals_adj,Effector memory CD45RA+ CD8-T cell_names,Effector memory CD45RA+ CD8-T cell_scores,Effector memory CD45RA+ CD8-T cell_logfoldchanges,Effector memory CD45RA+ CD8-T cell_pvals,Effector memory CD45RA+ CD8-T cell_pvals_adj,Eosinophil_names,Eosinophil_scores,Eosinophil_logfoldchanges,Eosinophil_pvals,Eosinophil_pvals_adj,Immature NK cell_names,Immature NK cell_scores,Immature NK cell_logfoldchanges,Immature NK cell_pvals,Immature NK cell_pvals_adj,Mature NK cell_names,Mature NK cell_scores,Mature NK cell_logfoldchanges,Mature NK cell_pvals,Mature NK cell_pvals_adj,More mature NK cell_names,More mature NK cell_scores,More mature NK cell_logfoldchanges,More mature NK cell_pvals,More mature NK cell_pvals_adj,Myeloid dendritic cell_names,Myeloid dendritic cell_scores,Myeloid dendritic cell_logfoldchanges,Myeloid dendritic cell_pvals,Myeloid dendritic cell_pvals_adj,Naïve B cell_names,Naïve B cell_scores,Naïve B cell_logfoldchanges,Naïve B cell_pvals,Naïve B cell_pvals_adj,Naïve CD4-T cell_names,Naïve CD4-T cell_scores,Naïve CD4-T cell_logfoldchanges,Naïve CD4-T cell_pvals,Naïve CD4-T cell_pvals_adj,Naïve CD8-T cell_names,Naïve CD8-T cell_scores,Naïve CD8-T cell_logfoldchanges,Naïve CD8-T cell_pvals,Naïve CD8-T cell_pvals_adj,Neutrophil_names,Neutrophil_scores,Neutrophil_logfoldchanges,Neutrophil_pvals,Neutrophil_pvals_adj,Non-classical monocyte_names,Non-classical monocyte_scores,Non-classical monocyte_logfoldchanges,Non-classical monocyte_pvals,Non-classical monocyte_pvals_adj,Plasmacytoid dendritic cell _names,Plasmacytoid dendritic cell _scores,Plasmacytoid dendritic cell _logfoldchanges,Plasmacytoid dendritic cell _pvals,Plasmacytoid dendritic cell _pvals_adj,Switched memory B cell_names,Switched memory B cell_scores,Switched memory B cell_logfoldchanges,Switched memory B cell_pvals,Switched memory B cell_pvals_adj,Unswitched memory B cell_names,Unswitched memory B cell_scores,Unswitched memory B cell_logfoldchanges,Unswitched memory B cell_pvals,Unswitched memory B cell_pvals_adj
152,AC006539.2,5.6622753,,0.0895872420770681,1.0,AC011997.1,3.2499266,inf,0.12902150227980283,1.0,RNU6-961P,2.4230552,16.82614,0.24917824998712862,1.0,NRON,3.0168252,102.07068,0.09638103810461081,1.0,AC009396.1,4.909201,inf,0.05013025145830566,1.0,AC091953.5,2.3292723,696.7496,0.25815460943957014,1.0,AC022150.3,4.533329,,0.12058058599580704,1.0,AL359878.2,4.3182306,inf,0.09167425458467467,1.0,AC002524.1,6.963028,,0.026762993457697466,1.0,AC022031.1,3.0028298,46.013023,0.11752288960621322,1.0,KLHL30,1.1885202,43.5339,0.3625903496656965,1.0,ATP13A5,2.2843075,22.057909,0.19653378412561712,1.0,COX6CP7,3.6901903,401.93484,0.12052769186441688,1.0,AC138305.3,5.5046754,,0.032170583344337075,1.0,ADAD1P2,2.438741,,0.13622507455984884,1.0,ANK2,2.8895833,114.62212,0.11096305892511404,1.0,Z93019.1,7.703215,,0.017541988771795896,1.0,MIXL1,3.0482213,35.851124,0.12221062758982339,1.0,LINC01124,8.773901,7.1633005,0.07224659178399293,1.0,SACS-AS1,3.9799347,109.898865,0.0777816280558253,1.0,CCL11,4.5928993,46.757893,0.12912242327286555,1.0
153,AC004069.1,5.6497884,inf,0.11129117152077822,1.0,RNU6-721P,3.225038,86.66991,0.1097021425100913,1.0,AL132780.4,2.4196022,23.20184,0.1460424863800185,1.0,RN7SL135P,3.0075376,92.981705,0.10677828066301878,1.0,AL032819.2,4.907111,inf,0.10612014993388186,1.0,AC067904.1,2.326039,298.20508,0.21866896249587509,1.0,FAM201B,4.531991,49.34017,0.10129664765089474,1.0,AC116348.2,4.3103485,inf,0.11731448988314898,1.0,FUT2,6.9459386,451.5996,0.04724010296080627,1.0,AC020763.3,3.002146,142.10547,0.1915419321837005,1.0,ABCC12,1.1871027,32.20818,0.44226887833643636,1.0,AL445433.2,2.2782793,9.657928,0.23726439598537724,1.0,AL591034.2,3.689341,,0.16798949004133829,1.0,FARSA-AS1,5.4995856,70.68992,0.09104500288262934,1.0,UGT2B24P,2.4384933,10.459761,0.1602054670583069,1.0,RNU4-78P,2.8664458,24.570053,0.11401727896685837,1.0,AC012087.1,7.6725626,inf,0.01893814250327326,1.0,LYG1,3.0467691,51.024796,0.10635546198200249,1.0,AP006248.1,8.752325,474.70288,0.07183368526356382,1.0,TRAV18,3.9740553,287.1324,0.06310773604910284,1.0,AC079414.3,4.580293,411.63696,0.05791458776682584,1.0
154,AC067750.1,5.6203938,inf,0.04016472577724822,1.0,AC092850.1,3.2215824,inf,0.0875298982450945,1.0,TEX30,2.4120286,49.845116,0.13742312379222213,1.0,AC113391.1,3.0041716,522.8327,0.19525728055308866,1.0,AC007128.1,4.9062824,150.30821,0.049569185523392637,1.0,AP001282.2,2.3244863,inf,0.24730385722859743,1.0,RPL35P4,4.5282865,401.82663,0.13774964406708404,1.0,AL353132.1,4.3026156,inf,0.0798980897790864,1.0,UCHL1,6.8901973,36.440586,0.029884184003596465,1.0,SCIN,3.0019393,7.035435,0.1625688849989472,1.0,EXOSC10,1.185498,2.4241166,0.3665948461153703,1.0,SNRPFP4,2.2769458,26.547552,0.18253220346781107,1.0,AC009118.1,3.68547,,0.12371643846765024,1.0,NHP2,5.4880295,18.669752,0.09919577475007933,1.0,TEX35,2.4377975,2.9562216,0.24781943170416784,1.0,GIMAP8,2.863045,238.98244,0.10415248575760469,1.0,REEP5,7.6594825,367.2741,0.023526481953747708,1.0,XPOTP1,3.0383065,62.468697,0.11610801916795782,1.0,GPR50,8.734305,11.779868,0.059735103780472455,1.0,HMGB1P4,3.9732459,37.533573,0.15582042111616784,1.0,RNU6-675P,4.575898,74.948044,0.06945947749034671,1.0
155,DEFB109A,5.612571,170.34622,0.10739032153814736,1.0,PSMB11,3.221277,14.116429,0.19162465574773058,1.0,ANKH,2.3976765,73.25284,0.20520906804923833,1.0,AL512637.2,3.0011027,,0.13723146091004104,1.0,AC010731.4,4.9048963,inf,0.10962528977746795,1.0,KRTAP9-9,2.3237646,18.040749,0.2587106652336205,1.0,AC007638.1,4.5268307,466.0987,0.12449104156186595,1.0,BNIP3P18,4.289682,20.044512,0.05514354466190799,1.0,TMEM132C,6.8471327,60.200935,0.027279046873025545,1.0,CTF1,3.0,31.69714,0.20483276469913345,1.0,AC140658.6,1.1787046,500.11023,0.43561238723753865,1.0,SLC25A52,2.2748694,56.337242,0.26231660132312806,1.0,HNRNPA1P14,3.6789398,511.0747,0.08839209531208285,1.0,MIR5708,5.4819274,28.404606,0.08915361158363452,1.0,OXA1L,2.4373112,23.372635,0.24560494078608874,1.0,AC022966.2,2.8593566,93.70304,0.18294257770489064,1.0,AP001962.1,7.6548543,651.34283,0.05622040520107804,1.0,AL022578.1,3.0360188,,0.12365010323555849,1.0,CETN2,8.720665,6.0848236,0.07268381688252955,1.0,RPL5P25,3.9648483,29.768488,0.06141264663890623,1.0,AC131953.2,4.5753284,106.9037,0.11017521891639859,1.0
156,AC068658.1,5.595054,inf,0.11176498748207372,1.0,TNFRSF14-AS1,3.2182012,115.34347,0.09262866277868421,1.0,ZNF346-IT1,2.391071,361.0705,0.2512645541674608,1.0,KRTAP5-6,2.996841,375.20892,0.20025529342558945,1.0,AC116362.1,4.892579,23.285452,0.041392460136863055,1.0,RN7SL394P,2.3142018,203.49214,0.19457565246494518,1.0,SUSD4,4.526488,152.60107,0.13234069925803704,1.0,AL137247.2,4.279107,,0.1138541071669635,1.0,AC004898.1,6.845764,879.17834,0.03553247895817508,1.0,AL355497.3,3.0,31.69714,0.20483276469913345,1.0,C17orf102,1.1742531,3.8116915,0.36138571620403326,1.0,AC064862.2,2.2676692,inf,0.19943578764995978,1.0,MIR3960,3.6677947,,0.06698888180116488,1.0,LINC00400,5.431034,163.06061,0.037037686762710874,1.0,GAPDHP17,2.435651,234.54701,0.2172157830571967,1.0,PAM,2.8592348,6.8802,0.11066858854415959,1.0,AL157815.1,7.647418,inf,0.03618795016789826,1.0,AC016999.2,3.0334952,inf,0.14319477399739622,1.0,C1GALT1,8.720665,6.0848236,0.07268381688252955,1.0,AL512605.2,3.964437,139.94142,0.15713993827856174,1.0,AC090844.3,4.5693445,7.9911666,0.059184559729187035,1.0
157,RN7SKP209,5.5807467,181.13191,0.06440062247643256,1.0,AL357874.2,3.2167668,795.42993,0.09068558031179381,1.0,SPDYE17,2.3886874,15.127947,0.2524014844847115,1.0,RN7SKP233,2.9870672,115.45167,0.11220182225211836,1.0,AC130651.1,4.88588,inf,0.060277420062626645,1.0,AC110772.1,2.3119,157.83408,0.2464549584393639,1.0,AC007405.1,4.520805,,0.12770512255583044,1.0,AL356218.1,4.279095,251.24535,0.10335151215290864,1.0,EIF4E,6.835606,21.696644,0.02074065816617147,1.0,RN7SL3,2.99961,72.38722,0.10065486863609877,1.0,AL391095.5,1.1707842,343.7221,0.3639332156697459,1.0,AL590666.1,2.2625866,314.8682,0.1894947032443939,1.0,AL133215.2,3.652205,inf,0.07150033459968314,1.0,AC092145.1,5.428046,29.948462,0.1070342035601042,1.0,LRRC34,2.434163,4.863877,0.15256591296220223,1.0,AC046134.1,2.8560069,inf,0.14414410521669535,1.0,AC010674.1,7.642227,inf,0.07166284451653072,1.0,AL357874.2,3.0314484,744.6831,0.10526548415757941,1.0,AL121899.1,8.69379,inf,0.02177677134102783,1.0,MYH2,3.9643247,110.11437,0.11189420504016524,1.0,BX571673.1,4.5509124,429.09357,0.04527285866411863,1.0
158,ZNF276,5.555996,171.50037,0.11165551141808973,1.0,RBM22P2,3.2113955,31.025003,0.12439340037058022,1.0,AC096533.1,2.3849244,116.569756,0.2423735590769377,1.0,AC137723.1,2.9863226,117.29111,0.1767203688512112,1.0,OR51A10P,4.8702974,19.249142,0.11595980307334748,1.0,RNU6-1233P,2.298304,7.022112,0.2612669348469367,1.0,RNU6-85P,4.511925,298.56573,0.04615586690381556,1.0,AL096816.1,4.2764683,,0.06699082460975632,1.0,AC174048.1,6.832167,,0.04696268110964397,1.0,AC061965.1,2.996679,322.73087,0.10423916177389628,1.0,RN7SL736P,1.1698273,257.12433,0.4493449005642902,1.0,AL161757.5,2.256579,,0.2451570702184855,1.0,AP002370.1,3.6345766,,0.1650272533199515,1.0,ADORA2A-AS1,5.41029,142.4079,0.11480724377356837,1.0,AL445213.1,2.4204292,353.82095,0.20395379379926168,1.0,LDLRAD4-AS1,2.842072,62.865753,0.10481733223454076,1.0,ITPKB-AS1,7.638974,35.756878,0.05669517334803754,1.0,AF238378.1,3.0195708,129.87862,0.094741068452416,1.0,RNA5SP407,8.6344185,579.1066,0.051877602836528904,1.0,DRC7,3.95222,461.15747,0.09990000570946134,1.0,RPS27AP18,4.538682,89.41679,0.06060482690733027,1.0
159,AC138207.1,5.552139,,0.04570924554809873,1.0,AC093578.2,3.1864946,,0.19241203127891396,1.0,AL135999.2,2.3846786,19.91734,0.13999410897637066,1.0,MRPL33,2.981422,16.959257,0.2060221011500205,1.0,AC012668.2,4.8673725,inf,0.08930858593515156,1.0,SDCBP2-AS1,2.2978563,149.42714,0.2403484089567559,1.0,AL137182.1,4.505939,inf,0.04659798793365735,1.0,Z94721.1,4.27553,,0.1322677497328434,1.0,AC013457.1,6.7759833,inf,0.09327906855281445,1.0,RNFT1-DT,2.98866,33.77364,0.09960047766046272,1.0,MUPP,1.1691445,18.646841,0.41397850725523516,1.0,BX510359.4,2.2535968,379.24847,0.15891436425781608,1.0,AC069503.1,3.6241138,,0.13164112941229902,1.0,MEGF10,5.398749,660.17725,0.0637457740210849,1.0,DISC1-IT1,2.411649,233.933,0.2491569811349035,1.0,AC244636.2,2.8407125,29.406677,0.1594531648166104,1.0,PATL1,7.631533,inf,0.05775455780468058,1.0,UQCRHP4,3.0183175,4.662261,0.20367300634130006,1.0,AC010336.2,8.603816,,0.01330869535746239,1.0,CNNM1,3.9117086,inf,0.15271899545875098,1.0,THAP9-AS1,4.5360847,104.27081,0.04550670197906272,1.0
160,AL807757.1,5.4990387,952.6115,0.08786773134080439,1.0,AC012055.1,3.183943,inf,0.10512182328068036,1.0,RNA5SP258,2.3829334,9.739287,0.14461752018376872,1.0,ELK4,2.9801476,11.341505,0.15290662313767853,1.0,AC004691.1,4.8591895,,0.039838305103608564,1.0,AC090985.1,2.2855678,inf,0.24264661549531558,1.0,AC241585.3,4.5058455,152.70927,0.13835650609226277,1.0,AP001471.1,4.2597055,inf,0.10895441103862195,1.0,AC005539.1,6.773602,inf,0.061519803332731306,1.0,NFU1P2,2.9853592,100.66405,0.19421227205492828,1.0,PMEPA1,1.1676555,20.161667,0.44261838028615114,1.0,AC027338.2,2.2387652,,0.19048437825749265,1.0,TACC1P1,3.6199265,94.1025,0.1131222564901022,1.0,AC026150.4,5.39654,inf,0.03266492352257735,1.0,AP001095.1,2.4109635,116.31729,0.14300294326043064,1.0,RNU6-249P,2.8382518,18.526535,0.147775076867732,1.0,Z99497.2,7.61484,,0.016951821751516202,1.0,PRR35,3.0126429,140.04962,0.20248754729934404,1.0,RPL36,8.554494,inf,0.01712058376297186,1.0,AL138812.1,3.8899968,inf,0.1384319180862467,1.0,AL355001.2,4.527401,inf,0.05298124715417133,1.0
161,KLF8,5.4889174,636.3728,0.046871779474792145,1.0,AC009053.5,3.183649,130.74425,0.14878038593657875,1.0,LOC105376171,2.372962,367.74298,0.14502488390312832,1.0,AP003049.1,2.9789002,inf,0.19742072674317623,1.0,AC004832.5,4.8495636,,0.09091880731954358,1.0,CFTR-AS1,2.2837176,135.25266,0.21965416024050274,1.0,AC100871.1,4.5019727,641.0976,0.04978981538674553,1.0,SEC11B,4.2502565,23.784761,0.10818457278799977,1.0,PSTPIP2,6.772061,344.33524,0.09017337463107622,1.0,NRGN,2.9780674,49.772984,0.14165759816849435,1.0,AC011444.4,1.1664625,inf,0.37863298974241466,1.0,SP9,2.2231774,16.663414,0.254341009934346,1.0,AL356432.3,3.6093173,569.93665,0.15380895764543212,1.0,AC005037.1,5.387124,558.323,0.03277770915941252,1.0,RNU6-758P,2.409884,302.6053,0.1482450032152187,1.0,NDUFAF8,2.830577,127.78671,0.11892955845087437,1.0,MIR4666B,7.5441194,inf,0.04356144648315031,1.0,AC106729.1,3.0126336,459.31802,0.18784150009791536,1.0,AC008011.2,8.533101,inf,0.05299492875436304,1.0,AL662864.1,3.8855748,580.5412,0.15619074897682156,1.0,ABHD11-AS1,4.524916,36.57247,0.054333566155300904,1.0
162,AC094019.3,5.4847846,,0.0776205328435066,1.0,MRPS16,3.1824026,18.209455,0.09286798023381256,1.0,AC093084.1,2.370807,inf,0.1676358749006772,1.0,LINC00427,2.9742625,74.91194,0.1692440276919207,1.0,AL161665.1,4.842937,inf,0.08425404782415925,1.0,ATP2B1,2.2667909,29.83476,0.15557359243605406,1.0,AP005121.2,4.496638,inf,0.1277767391893386,1.0,AL034417.1,4.24488,160.31949,0.0716263619966659,1.0,AC007272.2,6.7501373,,0.02908903495218751,1.0,MIR302D,2.9719663,82.34182,0.15197887094636559,1.0,SGSM1,1.1655021,105.929886,0.3657920509175623,1.0,MBOAT1,2.214466,316.9601,0.25298616253316336,1.0,AC073342.1,3.6062627,,0.07118805169421352,1.0,REV3L-IT1,5.379557,32.150143,0.07600067646574107,1.0,AC098848.1,2.4042401,34.877155,0.24994568785637034,1.0,AL021368.1,2.819693,541.11884,0.20613170913582313,1.0,AC090365.1,7.5250344,,0.08220503536036887,1.0,AIMP2,3.0123851,188.84879,0.12458135721356223,1.0,RUNX1,8.513474,49.384502,0.01431292242045819,1.0,AL136301.1,3.8789325,inf,0.08473535863857712,1.0,AC069544.1,4.52408,168.32645,0.11271830074302082,1.0
163,CYCSP29,5.477278,inf,0.10478095750340936,1.0,BCLAF3,3.1780894,inf,0.15774739695888942,1.0,AL359385.2,2.351026,inf,0.14308668490845258,1.0,AC002350.2,2.9652529,inf,0.12361841575096602,1.0,AC008147.2,4.8415575,,0.056046630771991325,1.0,RNU1-91P,2.2545419,39.25809,0.18586080800839816,1.0,VPS45,4.4930606,110.149765,0.06318686220039098,1.0,AC005477.1,4.24303,107.3973,0.10793136775358911,1.0,AC138393.1,6.7466393,151.91493,0.04502303509533032,1.0,AC073091.2,2.9656768,inf,0.16575134851366838,1.0,AL356512.1,1.1563063,18.57472,0.4182145705850991,1.0,AC120045.2,2.2082176,570.4777,0.2638637789528094,1.0,AC005578.1,3.6024244,inf,0.06977402796635436,1.0,SYPL2,5.340133,23.079596,0.05961479047907481,1.0,DDC-AS1,2.3997483,35.995525,0.1532081956214438,1.0,STX1B,2.8196623,12.5443535,0.1767247829834028,1.0,NPM1P29,7.476408,220.37167,0.07587202750903059,1.0,BCLAF1P1,3.0099854,449.79623,0.16083901577127183,1.0,AC013472.2,8.464385,179.56876,0.022922282090752952,1.0,AP003355.2,3.854633,inf,0.13792059938800172,1.0,RPSAP4,4.518765,inf,0.04867126824986364,1.0
164,AC112187.1,5.46872,inf,0.03940558593817126,1.0,AC074344.1,3.1572256,inf,0.1806696548956362,1.0,AC108734.3,2.350766,inf,0.16352639540912603,1.0,SETD1A,2.9599662,67.88019,0.09996232271195758,1.0,AC093155.2,4.8322687,inf,0.12902521949398965,1.0,PTENP1,2.240685,4.186284,0.17731702946445155,1.0,AC093700.1,4.491684,200.85922,0.13169793524522402,1.0,AC092658.1,4.2204046,inf,0.08763649823731136,1.0,AL139041.1,6.7446327,,0.04858315809677409,1.0,AL355001.1,2.9654717,147.01062,0.11777460368918725,1.0,DNAJC3,1.1491652,15.642842,0.40854317729278644,1.0,SNORD92,2.2064261,13.165298,0.18967274202260456,1.0,AC023271.2,3.6005244,56.281223,0.15231216441426834,1.0,Z74021.1,5.3354383,inf,0.04505128678865944,1.0,LINC01778,2.393482,3.592654,0.2519470780946519,1.0,AC091057.6,2.818887,inf,0.21493850018091123,1.0,RNU4-17P,7.3979955,53.036373,0.017785462972371265,1.0,AC005580.1,3.0,31.69714,0.20483276469913345,1.0,AC023274.2,8.4364395,28.412947,0.062028262380623735,1.0,RNU6-840P,3.84693,23.985552,0.14140996225378324,1.0,AL355390.2,4.479556,inf,0.12045802837524885,1.0
165,MGAT2P2,5.4635196,339.39462,0.08548013539982134,1.0,AC084117.1,3.1545906,,0.16818546093441888,1.0,RNA5SP365,2.3503222,7.8121514,0.23571139841101799,1.0,MTND6P3,2.9594793,841.56006,0.09864984854336202,1.0,FGF13,4.830705,8.787026,0.11322736387192842,1.0,FAM87B,2.2380128,223.40132,0.20193744953781975,1.0,ADO,4.4885063,735.3417,0.08471023318271349,1.0,AL136520.1,4.2142906,24.777397,0.12615150933240873,1.0,SPACA1,6.70535,inf,0.04660772139482264,1.0,INSC,2.9634266,33.795403,0.10018596804577214,1.0,RPS27A,1.1482627,126.70469,0.4434700960947012,1.0,AL021395.2,2.1990387,inf,0.15927397747903424,1.0,MTND4LP25,3.5974145,233.11397,0.13473153143390923,1.0,AL445423.2,5.332045,52.88429,0.03484639097988595,1.0,AL360271.1,2.3864403,326.30154,0.2526038795680308,1.0,AC079310.1,2.8059697,12.673693,0.1774033077459315,1.0,AC009154.2,7.3028784,inf,0.08658765008458848,1.0,AC005726.1,2.9943879,644.3437,0.1339906095928183,1.0,AC073488.6,8.430538,,0.07171217901261441,1.0,AC078925.4,3.8462696,73.33316,0.06844833107167608,1.0,H3P8,4.474351,60.65661,0.06314673093002518,1.0
166,AC008537.2,5.421402,inf,0.03503578518045743,1.0,AP005671.1,3.1517484,287.85373,0.18760702102955892,1.0,AC245014.3,2.3499894,,0.2546963935382033,1.0,SMAD1-AS2,2.9499655,212.76144,0.09877350821799531,1.0,AL355388.1,4.8259954,inf,0.0567363156095057,1.0,AC013410.2,2.2337089,241.83176,0.2662164115998619,1.0,UBE2L6,4.4876885,352.63074,0.131636487905399,1.0,AC097639.2,4.211418,,0.147224824527063,1.0,ASIP,6.618598,31.48115,0.023687363100585217,1.0,RNU4-7P,2.9613917,123.06189,0.19034837132511648,1.0,LINC02051,1.1455415,11.400529,0.45074271083623024,1.0,ALOXE3,2.1969023,102.97236,0.20216274236231502,1.0,AC068724.3,3.5925133,666.6333,0.08072473052305562,1.0,AP003181.1,5.3314114,inf,0.09163302842436873,1.0,AC005086.3,2.377314,155.73892,0.25348561265358893,1.0,SKOR1,2.7965195,38.339638,0.20126460442718275,1.0,AL136369.2,7.2936063,inf,0.05069555067152046,1.0,GRAMD2B,2.977399,12.347202,0.16089728314685753,1.0,AC078843.1,8.387132,inf,0.07141182235379301,1.0,AC020728.1,3.8321667,inf,0.15837512766233014,1.0,ZFP64P1,4.461052,152.64006,0.046818476934399056,1.0
167,UBR3,5.3953876,inf,0.03303719900393226,1.0,DUX4L9,3.1501253,101.293976,0.14129874414433438,1.0,RLN3,2.3444364,28.243095,0.23449653173374915,1.0,AL157414.3,2.936561,63.839264,0.20850733004817795,1.0,AC025575.1,4.820587,inf,0.06691979699573171,1.0,DAPK1,2.2330124,305.59888,0.15956889407615266,1.0,AL049870.2,4.4858165,,0.0535943709396335,1.0,TERF2IP,4.2098823,42.60374,0.09019667442847039,1.0,LRRC2,6.615837,782.4457,0.02737192901913687,1.0,OTUD3,2.9601812,403.34146,0.1282530675021331,1.0,TRIM74,1.142438,11.867815,0.4116395482083718,1.0,PES1,2.1860745,12.074714,0.1849994076239401,1.0,AC024579.1,3.5904114,168.0379,0.15757392352877514,1.0,AC244255.1,5.2921214,505.70068,0.10846260717392286,1.0,LINC00607,2.3759477,10.112614,0.23423357720437143,1.0,GSDMD,2.7917423,140.37422,0.21232489447880298,1.0,AC084121.12,7.289325,204.36191,0.022164566493468523,1.0,AC092115.2,2.9739273,,0.11752902040182794,1.0,AL160408.2,8.369791,inf,0.07455847050365669,1.0,AL390962.1,3.8304446,95.6224,0.06874742937062027,1.0,AC092810.1,4.4583454,488.06372,0.05292908052675982,1.0
168,AC010325.2,5.3785725,inf,0.05619413392084006,1.0,AC093810.1,3.146731,,0.18736998741297084,1.0,AL512637.2,2.3431127,,0.15568441971091676,1.0,NCOA2,2.935468,4.619259,0.09934387377658628,1.0,OR51F4P,4.8118486,194.1507,0.12306547871043456,1.0,WARS2-IT1,2.2274363,107.192245,0.1678748232048009,1.0,AL358075.2,4.4822283,inf,0.13668051600319817,1.0,AC002407.1,4.209061,520.77686,0.14838011689444844,1.0,AC091917.1,6.5884857,,0.023134678014689634,1.0,DICER1-AS1,2.9568737,350.8995,0.19617555252071253,1.0,ONECUT1,1.1405672,10.3406105,0.4034484097711043,1.0,AC007952.9,2.1848176,inf,0.22530893127945106,1.0,PNPLA3,3.5800085,95.59108,0.11960803559966451,1.0,MAP3K5-AS1,5.2914267,236.71031,0.05983596277716468,1.0,AC100839.1,2.3596914,169.94948,0.14228638813143238,1.0,MKX-AS1,2.7915034,10.266843,0.21898935455295226,1.0,AC010680.4,7.25103,inf,0.06935141933549435,1.0,MIR5010,2.9725661,4.340067,0.10885410736601624,1.0,KCNJ11,8.344454,inf,0.04223424813168212,1.0,AC011726.2,3.8261263,434.9365,0.16268431278107717,1.0,AP003499.4,4.453352,inf,0.06144365247803762,1.0
169,MIR1973,5.342867,inf,0.11772139701319302,1.0,AC103563.6,3.1466444,697.4349,0.19528112180434185,1.0,AC099654.8,2.3409956,,0.16005431879298235,1.0,AC132825.2,2.9277413,inf,0.1920975902757752,1.0,RN7SL100P,4.8104534,inf,0.08828129715012334,1.0,Z98751.1,2.2230597,,0.2688052608678492,1.0,CAPN9,4.482085,151.26657,0.10473827020399776,1.0,AC010618.2,4.2040477,inf,0.13910480627684907,1.0,AC114744.1,6.5766845,inf,0.053792270092046,1.0,IGHA2,2.944434,244.93355,0.15379024903987404,1.0,AC024559.1,1.1397461,,0.4116952368585476,1.0,STK38,2.1779904,19.118814,0.2732926418698963,1.0,SLC37A2,3.564834,28.590345,0.1741084732048691,1.0,CD177P1,5.2644672,36.22947,0.1156191379142968,1.0,AL513342.1,2.3554087,468.7677,0.23081729269757786,1.0,AC093802.2,2.7910273,,0.16529345800677173,1.0,AC024619.4,7.212768,,0.019220594180964348,1.0,AC048346.1,2.9652333,inf,0.09825358447909169,1.0,AC105036.2,8.34357,,0.06267976318737935,1.0,FP236383.5,3.817524,73.40232,0.06230266910638899,1.0,AP006248.2,4.4337068,inf,0.05660824300549475,1.0
170,MIR378D2,5.3300567,94.11086,0.1063935159693784,1.0,AC108073.2,3.140292,,0.18637503859231333,1.0,LINC01813,2.337512,266.39365,0.25505692357951465,1.0,RN7SL751P,2.9257257,52.982994,0.10810798374584468,1.0,ATP5PD,4.8091183,63.08284,0.09460858986625584,1.0,LINC01347,2.2226264,42.420578,0.17463681672450793,1.0,AC022296.2,4.4749093,inf,0.1360942606225676,1.0,AC092656.1,4.1991944,75.16441,0.13385600579628434,1.0,BX546450.2,6.556337,,0.08164601757121438,1.0,AL158071.3,2.93946,46.45478,0.18849702941461927,1.0,ATP6V1FNB,1.1323483,3.1232197,0.37976072456013243,1.0,AL445435.1,2.1751118,,0.2119307714356636,1.0,AC005071.1,3.5179024,inf,0.16985266689059964,1.0,AC010754.1,5.2583027,,0.11963784029831348,1.0,AL445189.1,2.3491158,523.66223,0.16931074678595565,1.0,RNU6-1062P,2.780156,424.8737,0.20775217739253246,1.0,LINC00431,7.167124,inf,0.08524067290952138,1.0,HNRNPA1P51,2.958261,9.613282,0.13055231582318177,1.0,GRK4,8.213008,454.08826,0.01724427343506076,1.0,RNU6-100P,3.808761,196.25328,0.1599652280781648,1.0,AL645733.1,4.4224753,inf,0.06617405521199962,1.0
