,broadct,col_colors
0,adventitial_cell,#b5cf6b
1,cardiac_endothelial_cell,#393b79
2,ciliated_epithelial_cell,#e377c2
3,conjunctival_epithelial_cell,#e7cb94
4,connective_tissue_cell,#843c39
5,contractile_cell,#98df8a
6,dendritic_cell,#9edae5
7,duct_epithelial_cell,#9c9ede
8,ecto_epithelial_cell,#bd9e39
9,endo_epithelial_cell,#8c564b
10,endothelial_cell,#d62728
11,epithelial_cell,#7f7f7f
12,epithelial_cell_of_lung,#8ca252
13,erythroid_lineage_cell,#ff9896
14,female_germ_cell,#e7969c
15,fibroblast,#ffbb78
16,glandular_epithelial_cell,#dbdb8d
17,glial_cell,#6b6ecf
18,granulocyte,#ff7f0e
19,hematopoietic_cell,#c7c7c7
20,hepatocyte,#d6616b
21,innate_lymphoid_cell,#9467bd
22,intestinal_epithelial_cell,#bcbd22
23,kidney_epithelial_cell,#7b4173
24,lymphocyte_of_b_lineage,#c5b0d5
25,male_germ_cell,#cedb9c
26,melanocyte,#637939
27,meso_epithelial_cell,#c49c94
28,myeloid_leukocyte,#1f77b4
29,neuron,#8c6d31
30,retinal_pigment_epithelial_cell,#a55194
31,secretory_cell,#f7b6d2
32,stem_cell,#aec7e8
33,stratified_epithelial_cell,#ad494a
34,stromal_cell,#5254a3
35,t_cell,#2ca02c
36,transitional_epithelial_cell,#17becf
37,vestibular_dark_cell,#e7ba52
