,ctypes,comparts,broadct,col_colors
ionocyte,ionocyte,Epithelium,epithelial_cell,#7f7f7f
mucus_secreting_cell,mucus_secreting_cell,Epithelium,secretory_cell,#f7b6d2
granulocyte,granulocyte,Immune,granulocyte,#ff7f0e
non_classical_monocyte,non_classical_monocyte,Immune,myeloid_leukocyte,#1f77b4
platelet,platelet,Immune,hematopoietic_cell,#c7c7c7
classical_monocyte,classical_monocyte,Immune,myeloid_leukocyte,#1f77b4
regulatory_t_cell,regulatory_t_cell,Immune,t_cell,#2ca02c
hematopoietic_precursor_cell,hematopoietic_precursor_cell,Immune,hematopoietic_cell,#c7c7c7
mature_nk_t_cell,mature_nk_t_cell,Immune,t_cell,#2ca02c
large_intestine_goblet_cell,large_intestine_goblet_cell,Epithelium,intestinal_epithelial_cell,#bcbd22
intestinal_crypt_stem_cell_of_colon,intestinal_crypt_stem_cell_of_colon,Epithelium,stem_cell,#aec7e8
tuft_cell_of_colon,tuft_cell_of_colon,Epithelium,intestinal_epithelial_cell,#bcbd22
enterocyte_of_epithelium_of_large_intestine,enterocyte_of_epithelium_of_large_intestine,Epithelium,intestinal_epithelial_cell,#bcbd22
best4+_intestinal_epithelial_cell__human,best4+_intestinal_epithelial_cell__human,Epithelium,intestinal_epithelial_cell,#bcbd22
colon_endothelial_cell,colon_endothelial_cell,Endothelium,endothelial_cell,#d62728
transit_amplifying_cell_of_colon,transit_amplifying_cell_of_colon,Epithelium,stem_cell,#aec7e8
gamma_delta_t_cell,gamma_delta_t_cell,Immune,t_cell,#2ca02c
enterochromaffin_like_cell,enterochromaffin_like_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
type_l_enteroendocrine_cell,type_l_enteroendocrine_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
myeloid_leukocyte,myeloid_leukocyte,Immune,myeloid_leukocyte,#1f77b4
colon_macrophage,colon_macrophage,Immune,myeloid_leukocyte,#1f77b4
bladder_urothelial_cell,bladder_urothelial_cell,Epithelium,transitional_epithelial_cell,#17becf
myofibroblast_cell,myofibroblast_cell,Stromal,contractile_cell,#98df8a
t_cell,t_cell,Immune,t_cell,#2ca02c
enterocyte_of_epithelium_proper_of_ileum,enterocyte_of_epithelium_proper_of_ileum,Epithelium,intestinal_epithelial_cell,#bcbd22
activated_cd8_positive__alpha_beta_t_cell,activated_cd8_positive__alpha_beta_t_cell,Immune,t_cell,#2ca02c
small_intestine_goblet_cell,small_intestine_goblet_cell,Epithelium,intestinal_epithelial_cell,#bcbd22
intestinal_crypt_stem_cell_of_small_intestine,intestinal_crypt_stem_cell_of_small_intestine,Epithelium,stem_cell,#aec7e8
paneth_cell_of_epithelium_of_small_intestine,paneth_cell_of_epithelium_of_small_intestine,Epithelium,intestinal_epithelial_cell,#bcbd22
activated_cd4_positive__alpha_beta_t_cell,activated_cd4_positive__alpha_beta_t_cell,Immune,t_cell,#2ca02c
intestinal_tuft_cell,intestinal_tuft_cell,Epithelium,endo_epithelial_cell,#8c564b
enteroendocrine_cell_of_small_intestine,enteroendocrine_cell_of_small_intestine,Epithelium,glandular_epithelial_cell,#dbdb8d
endothelial_cell_of_venule,endothelial_cell_of_venule,Endothelium,endothelial_cell,#d62728
innate_lymphoid_cell,innate_lymphoid_cell,Immune,innate_lymphoid_cell,#9467bd
myeloid_dendritic_cell,myeloid_dendritic_cell,Immune,dendritic_cell,#9edae5
ventricular_cardiac_muscle_cell,ventricular_cardiac_muscle_cell,Stromal,contractile_cell,#98df8a
cardiac_endothelial_cell,cardiac_endothelial_cell,Endothelium,cardiac_endothelial_cell,#393b79
fibroblast_of_cardiac_tissue,fibroblast_of_cardiac_tissue,Stromal,fibroblast,#ffbb78
plasmacytoid_dendritic_cell,plasmacytoid_dendritic_cell,Immune,dendritic_cell,#9edae5
stromal_cell_of_ovary,stromal_cell_of_ovary,Stromal,stromal_cell,#5254a3
blood_vessel_smooth_muscle_cell,blood_vessel_smooth_muscle_cell,Stromal,contractile_cell,#98df8a
glandular_epithelial_cell,glandular_epithelial_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
ovarian_surface_epithelial_cell,ovarian_surface_epithelial_cell,Epithelium,epithelial_cell,#7f7f7f
granulosa_cell,granulosa_cell,Epithelium,meso_epithelial_cell,#c49c94
theca_cell,theca_cell,Stromal,stromal_cell,#5254a3
glial_cell,glial_cell,Stromal,glial_cell,#6b6ecf
pancreatic_acinar_cell,pancreatic_acinar_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
pancreatic_ductal_cell,pancreatic_ductal_cell,Epithelium,duct_epithelial_cell,#9c9ede
pancreatic_a_cell,pancreatic_a_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
type_b_pancreatic_cell,type_b_pancreatic_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
pancreatic_d_cell,pancreatic_d_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
pancreatic_stellate_cell,pancreatic_stellate_cell,Stromal,fibroblast,#ffbb78
pancreatic_pp_cell,pancreatic_pp_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
cd4_positive__alpha_beta_thymocyte,cd4_positive__alpha_beta_thymocyte,Immune,t_cell,#2ca02c
thymocyte,thymocyte,Immune,t_cell,#2ca02c
cd8_positive__alpha_beta_thymocyte,cd8_positive__alpha_beta_thymocyte,Immune,t_cell,#2ca02c
myo_medullary_thymic_epithelial_cell,myo_medullary_thymic_epithelial_cell,Epithelium,endo_epithelial_cell,#8c564b
mesenchymal_stem_cell,mesenchymal_stem_cell,Stromal,stem_cell,#aec7e8
skeletal_muscle_satellite_stem_cell,skeletal_muscle_satellite_stem_cell,Stromal,stem_cell,#aec7e8
basophil,basophil,Immune,granulocyte,#ff7f0e
fast_muscle_cell,fast_muscle_cell,Stromal,contractile_cell,#98df8a
slow_muscle_cell,slow_muscle_cell,Stromal,contractile_cell,#98df8a
tendon_cell,tendon_cell,Stromal,stromal_cell,#5254a3
epithelial_cell,epithelial_cell,Epithelium,epithelial_cell,#7f7f7f
acinar_cell_of_salivary_gland,acinar_cell_of_salivary_gland,Epithelium,glandular_epithelial_cell,#dbdb8d
duct_epithelial_cell,duct_epithelial_cell,Epithelium,duct_epithelial_cell,#9c9ede
vascular_associated_smooth_muscle_cell,vascular_associated_smooth_muscle_cell,Stromal,contractile_cell,#98df8a
myoepithelial_cell,myoepithelial_cell,Epithelium,meso_epithelial_cell,#c49c94
langerhans_cell,langerhans_cell,Immune,myeloid_leukocyte,#1f77b4
sebum_secreting_cell,sebum_secreting_cell,Epithelium,secretory_cell,#f7b6d2
melanocyte,melanocyte,Stromal,melanocyte,#637939
basal_cell_of_prostate_epithelium,basal_cell_of_prostate_epithelium,Epithelium,stem_cell,#aec7e8
luminal_cell_of_prostate_epithelium,luminal_cell_of_prostate_epithelium,Epithelium,endo_epithelial_cell,#8c564b
erythroid_progenitor_cell,erythroid_progenitor_cell,Immune,stem_cell,#aec7e8
common_myeloid_progenitor,common_myeloid_progenitor,Immune,stem_cell,#aec7e8
hematopoietic_stem_cell,hematopoietic_stem_cell,Immune,stem_cell,#aec7e8
tracheal_goblet_cell,tracheal_goblet_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
type_ii_pneumocyte,type_ii_pneumocyte,Epithelium,epithelial_cell_of_lung,#8ca252
alveolar_type_2_fibroblast_cell,alveolar_type_2_fibroblast_cell,Stromal,fibroblast,#ffbb78
bronchial_smooth_muscle_cell,bronchial_smooth_muscle_cell,Stromal,contractile_cell,#98df8a
type_i_pneumocyte,type_i_pneumocyte,Epithelium,epithelial_cell_of_lung,#8ca252
club_cell,club_cell,Epithelium,endo_epithelial_cell,#8c564b
respiratory_goblet_cell,respiratory_goblet_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
lung_ciliated_cell,lung_ciliated_cell,Epithelium,ciliated_epithelial_cell,#e377c2
adventitial_cell,adventitial_cell,Stromal,adventitial_cell,#b5cf6b
pulmonary_ionocyte,pulmonary_ionocyte,Epithelium,epithelial_cell,#7f7f7f
luminal_epithelial_cell_of_mammary_gland,luminal_epithelial_cell_of_mammary_gland,Epithelium,duct_epithelial_cell,#9c9ede
fibroblast_of_breast,fibroblast_of_breast,Stromal,fibroblast,#ffbb78
progenitor_cell_of_mammary_luminal_epithelium,progenitor_cell_of_mammary_luminal_epithelium,Epithelium,stem_cell,#aec7e8
spermatid,spermatid,Germline,male_germ_cell,#cedb9c
spermatocyte,spermatocyte,Germline,male_germ_cell,#cedb9c
male_germ_cell,male_germ_cell,Germline,male_germ_cell,#cedb9c
stromal_cell,stromal_cell,Stromal,stromal_cell,#5254a3
leydig_cell,leydig_cell,Stromal,secretory_cell,#f7b6d2
peritubular_myoid_cell,peritubular_myoid_cell,Epithelium,meso_epithelial_cell,#c49c94
spermatogonium,spermatogonium,Germline,male_germ_cell,#cedb9c
tissue_resident_macrophage,tissue_resident_macrophage,Immune,myeloid_leukocyte,#1f77b4
microglial_cell,microglial_cell,Immune,myeloid_leukocyte,#1f77b4
mueller_cell,mueller_cell,Stromal,glial_cell,#6b6ecf
eye_photoreceptor_cell,eye_photoreceptor_cell,Neural,neuron,#8c6d31
muscle_cell,muscle_cell,Stromal,contractile_cell,#98df8a
retinal_bipolar_neuron,retinal_bipolar_neuron,Neural,neuron,#8c6d31
