tissue,start,end,donor,value
Bladder,1,14499,TSP1,female
Bladder,14499,25985,TSP2,female
Bladder,25985,29671,TSP14,male
Bladder,29671,45431,TSP21,female
Bladder,45431,55731,TSP25,male
Bladder,55731,66386,TSP27,female
Blood,1,4449,TSP1,female
Blood,4449,17398,TSP2,female
Blood,17398,37781,TSP7,female
Blood,37781,42769,TSP8,male
Blood,42769,47129,TSP10,male
Blood,47129,67432,TSP14,male
Blood,67432,81535,TSP21,female
Blood,81535,84737,TSP25,male
Blood,84737,85234,TSP27,female
Bone_Marrow,1,4130,TSP2,female
Bone_Marrow,4130,6682,TSP11,male
Bone_Marrow,6682,7143,TSP13,male
Bone_Marrow,7143,19068,TSP14,male
Bone_Marrow,19068,22694,TSP21,female
Bone_Marrow,22694,26463,TSP25,male
Bone_Marrow,26463,27113,TSP27,female
Ear,1,380,TSP21,female
Ear,380,3056,TSP25,male
Eye,1,4229,TSP3,female
Eye,4229,7105,TSP5,female
Eye,7105,13153,TSP15,male
Eye,13153,34274,TSP21,female
Fat,1,312,TSP2,female
Fat,312,14750,TSP10,male
Fat,14750,23395,TSP14,male
Fat,23395,43532,TSP21,female
Fat,43532,93250,TSP25,male
Fat,93250,94416,TSP27,female
Heart,1,304,TSP2,female
Heart,304,12351,TSP12,male
Heart,12351,12489,TSP14,male
Heart,12489,17805,TSP21,female
Heart,17805,20400,TSP25,male
Heart,20400,25833,TSP27,female
Kidney,1,11377,TSP2,female
Large_Intestine,1,4923,TSP2,female
Large_Intestine,4923,14854,TSP14,male
Large_Intestine,14854,16348,TSP25,male
Large_Intestine,16348,20170,TSP26,female
Large_Intestine,20170,30085,TSP27,female
Liver,1,5188,TSP6,male
Liver,5188,12213,TSP14,male
Liver,12213,14327,TSP17,male
Liver,14327,22215,TSP19,female
Lung,1,16485,TSP1,female
Lung,16485,41133,TSP2,female
Lung,41133,54132,TSP14,male
Lung,54132,65848,TSP25,male
Lymph_Node,1,11009,TSP2,female
Lymph_Node,11009,25543,TSP7,female
Lymph_Node,25543,56773,TSP14,male
Lymph_Node,56773,84699,TSP21,female
Lymph_Node,84699,110065,TSP25,male
Lymph_Node,110065,129063,TSP27,female
Mammary,1,12398,TSP4,female
Mammary,12398,30937,TSP27,female
Muscle,1,4036,TSP1,female
Muscle,4036,23010,TSP2,female
Muscle,23010,25123,TSP4,female
Muscle,25123,33738,TSP14,male
Muscle,33738,36569,TSP25,male
Muscle,36569,46773,TSP27,female
Ovary,1,7095,TSP27,female
Ovary,7095,28886,TSP28,female
Ovary,28886,48952,TSP30,female
Pancreas,1,7043,TSP1,female
Pancreas,7043,14100,TSP9,male
Pancreas,14100,14141,TSP27,female
Prostate,1,14993,TSP8,male
Prostate,14993,18987,TSP14,male
Prostate,18987,21031,TSP25,male
Salivary_Gland,1,9328,TSP7,female
Salivary_Gland,9328,28261,TSP14,male
Salivary_Gland,28261,32115,TSP21,female
Salivary_Gland,32115,39822,TSP25,male
Skin,1,787,TSP2,female
Skin,787,7112,TSP10,male
Skin,7112,11301,TSP14,male
Skin,11301,17787,TSP21,female
Small_Intestine,1,5222,TSP2,female
Small_Intestine,5222,16203,TSP14,male
Small_Intestine,16203,22556,TSP25,male
Small_Intestine,22556,32271,TSP26,female
Small_Intestine,32271,42037,TSP27,female
Spleen,1,8949,TSP2,female
Spleen,8949,18296,TSP7,female
Spleen,18296,39759,TSP14,male
Spleen,39759,53238,TSP21,female
Spleen,53238,57343,TSP25,male
Spleen,57343,70449,TSP27,female
Stomach,1,9576,TSP20,female
Stomach,9576,18788,TSP25,male
Stomach,18788,33065,TSP27,female
Testis,1,7514,TSP25,male
Thymus,1,12908,TSP2,female
Thymus,12908,32797,TSP14,male
Thymus,32797,37344,TSP21,female
Thymus,37344,40317,TSP25,male
Thymus,40317,42730,TSP27,female
Tongue,1,164,TSP4,female
Tongue,164,7778,TSP7,female
Tongue,7778,17256,TSP14,male
Tongue,17256,24402,TSP25,male
Tongue,24402,38755,TSP27,female
Trachea,1,9578,TSP2,female
Trachea,9578,16997,TSP6,male
Trachea,16997,17326,TSP14,male
Trachea,17326,18277,TSP21,female
Trachea,18277,22426,TSP25,male
Trachea,22426,22672,TSP27,female
Uterus,1,11450,TSP4,female
Uterus,11450,22030,TSP21,female
Vasculature,1,9305,TSP2,female
Vasculature,9305,19082,TSP14,male
Vasculature,19082,28841,TSP21,female
Vasculature,28841,42582,TSP25,male
Vasculature,42582,42651,TSP27,female
